mode,game_id,seed,score,steps,max_tile,ended,abort_reason,reached_256,reached_512,reached_1024,reached_2048,reached_4096,invalid_moves,invalid_move_rate,latency_avg,latency_p50,latency_p95,wall_clock_ms,jev_calls,jev_rejections,tokens_in,tokens_out,kept_playing,tag_counts
random,0,123,708,95,64,game_over,,False,False,False,False,False,0,0.0,0.0,0.0,0.0,6073.9,0,0,0,0,False,"{""alternating_loop"": 1, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 3, ""decision_stagnation"": 0, ""harness_desync"": 0}"
random,1,124,1248,130,128,game_over,,False,False,False,False,False,0,0.0,0.0,0.0,0.0,8317.3,0,0,0,0,False,"{""alternating_loop"": 0, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 5, ""decision_stagnation"": 0, ""harness_desync"": 0}"
random,2,125,992,104,128,game_over,,False,False,False,False,False,0,0.0,0.0,0.0,0.0,6733.2,0,0,0,0,False,"{""alternating_loop"": 1, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 7, ""decision_stagnation"": 0, ""harness_desync"": 0}"
random,3,126,1328,138,128,game_over,,False,False,False,False,False,0,0.0,0.0,0.0,0.0,8789.1,0,0,0,0,False,"{""alternating_loop"": 0, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 9, ""decision_stagnation"": 0, ""harness_desync"": 0}"
random,4,127,1132,118,128,game_over,,False,False,False,False,False,0,0.0,0.0,0.0,0.0,7550.6,0,0,0,0,False,"{""alternating_loop"": 3, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 4, ""decision_stagnation"": 0, ""harness_desync"": 0}"
random,5,128,1032,106,128,game_over,,False,False,False,False,False,0,0.0,0.0,0.0,0.0,6758.6,0,0,0,0,False,"{""alternating_loop"": 1, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 4, ""decision_stagnation"": 0, ""harness_desync"": 0}"
random,6,129,1672,171,128,game_over,,False,False,False,False,False,0,0.0,0.0,0.0,0.0,10836.1,0,0,0,0,False,"{""alternating_loop"": 2, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 6, ""decision_stagnation"": 0, ""harness_desync"": 0}"
random,7,130,644,89,64,game_over,,False,False,False,False,False,0,0.0,0.0,0.0,0.0,5405.7,0,0,0,0,False,"{""alternating_loop"": 0, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 5, ""decision_stagnation"": 0, ""harness_desync"": 0}"
random,8,131,576,79,64,game_over,,False,False,False,False,False,0,0.0,0.0,0.0,0.0,4904.7,0,0,0,0,False,"{""alternating_loop"": 0, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 2, ""space_collapse"": 0, ""greedy_trap"": 3, ""decision_stagnation"": 0, ""harness_desync"": 0}"
random,9,132,448,64,64,game_over,,False,False,False,False,False,0,0.0,0.0,0.0,0.0,4098.0,0,0,0,0,False,"{""alternating_loop"": 0, ""repeated_state"": 0, ""invalid_repetition"": 0, ""corner_break"": 0, ""space_collapse"": 0, ""greedy_trap"": 3, ""decision_stagnation"": 0, ""harness_desync"": 0}"
